url,clicks,impressions
https://es.theglobal.school/tag/universidad-nacional-de-costa-rica/,0,1
https://es.theglobal.school/the-battle-against-inequality-starts-in-mexico/,0,1
https://becarios.theglobal.school/tag/non-profit/,0,1
https://es.theglobal.school/tag/azlheimer-mexico/,0,1
https://es.theglobal.school/tag/rusia/,0,1
https://es.theglobal.school/5-lessons/,0,1
https://es.theglobal.school/tag/turquia/,0,1
https://es.theglobal.school/tag/negocios-costa-rica/,0,1
https://es.theglobal.school/tag/madre-tierra/,0,1
https://es.theglobal.school/tag/ciudades-inteligentes/,0,1
https://es.theglobal.school/tag/geopolitics-es/,0,1
https://becarios.theglobal.school/become-a-volounteer/,0,1
https://es.theglobal.school/tag/rusia-america-latina/,0,1
https://es.theglobal.school/tag/china-war-es/,0,1
https://es.theglobal.school/tag/usa-war-es/,0,1
https://es.theglobal.school/tag/war-china-usa-es/,0,1
https://es.theglobal.school/tag/latin-americans-in-europe-es/,0,1
