url,final_url,status,lang,redirected,slug,md_chars,images,warn
https://es.theglobal.school/compartir-el-poder-para-reconstruir-la-confianza-publica/,https://es.theglobal.school/compartir-el-poder-para-reconstruir-la-confianza-publica/,200,es,no,compartir-el-poder-para-reconstruir-la-confianza-publica,5145,5,
https://es.theglobal.school/consejos-organizar-evento-online/,https://es.theglobal.school/consejos-organizar-evento-online/,200,es,no,consejos-organizar-evento-online,17161,1,
https://es.theglobal.school/conviertete-en-analista-columnista/,https://es.theglobal.school/conviertete-en-analista-columnista/,200,es,no,conviertete-en-analista-columnista,9119,3,
https://es.theglobal.school/coronavirus-vs-latam/,https://es.theglobal.school/coronavirus-vs-latam/,200,es,no,coronavirus-vs-latam,83271,1,
https://es.theglobal.school/corresponsabilidad-social/,https://es.theglobal.school/corresponsabilidad-social/,200,es,no,corresponsabilidad-social,9796,6,
https://es.theglobal.school/crisis-ambiental/,https://es.theglobal.school/crisis-ambiental/,200,es,no,crisis-ambiental,14651,9,
https://es.theglobal.school/crisis-global/,https://es.theglobal.school/crisis-global/,200,es,no,crisis-global,11901,4,
https://es.theglobal.school/daniel-medvedovsky-latin-american-social-leaders-awards/,https://es.theglobal.school/daniel-medvedovsky-latin-american-social-leaders-awards/,200,es,no,daniel-medvedovsky-latin-american-social-leaders-awards,5333,2,
https://es.theglobal.school/decrecimiento/,https://es.theglobal.school/decrecimiento/,200,es,no,decrecimiento,64281,2,
https://es.theglobal.school/desarrollo-sostenible/,https://es.theglobal.school/desarrollo-sostenible/,200,es,no,desarrollo-sostenible,6884,5,
https://es.theglobal.school/direccion-de-cambio-climatico-panama-nominados-2022-latin-american-leaders-awards/,https://es.theglobal.school/direccion-de-cambio-climatico-panama-nominados-2022-latin-american-leaders-awards/,200,es,no,direccion-de-cambio-climatico-panama-nominados-2022-latin-american-leaders-awards,8185,1,
https://es.theglobal.school/direccion-de-movilidad-y-transporte-de-zapopan-latin-american-leaders-awards-nominados-2022/,https://es.theglobal.school/direccion-de-movilidad-y-transporte-de-zapopan-latin-american-leaders-awards-nominados-2022/,200,es,no,direccion-de-movilidad-y-transporte-de-zapopan-latin-american-leaders-awards-nominados-2022,8032,1,
https://es.theglobal.school/doctor-terra-latin-american-leaders-awards-nominados-2022/,https://es.theglobal.school/doctor-terra-latin-american-leaders-awards-nominados-2022/,200,es,no,doctor-terra-latin-american-leaders-awards-nominados-2022,10608,1,
https://es.theglobal.school/doris-mujica-latin-american-social-leaders-awards/,https://es.theglobal.school/doris-mujica-latin-american-social-leaders-awards/,200,es,no,doris-mujica-latin-american-social-leaders-awards,4715,2,
https://es.theglobal.school/dunnia-marin-corrales-latin-american-leaders-awards-nominados-2022/,https://es.theglobal.school/dunnia-marin-corrales-latin-american-leaders-awards-nominados-2022/,200,es,no,dunnia-marin-corrales-latin-american-leaders-awards-nominados-2022,7815,1,
https://es.theglobal.school/economia-de-la-dona/,https://es.theglobal.school/economia-de-la-dona/,200,es,no,economia-de-la-dona,15180,4,
https://es.theglobal.school/el-capitalismo-ha-muerto/,https://es.theglobal.school/el-capitalismo-ha-muerto/,200,es,no,el-capitalismo-ha-muerto,18013,3,
https://es.theglobal.school/el-movimiento-feminista-puede-aprender-del-movimiento-ambiental/,https://es.theglobal.school/el-movimiento-feminista-puede-aprender-del-movimiento-ambiental/,200,es,no,el-movimiento-feminista-puede-aprender-del-movimiento-ambiental,7253,2,
https://es.theglobal.school/el-primer-compendio-de-tecnologias-indigenas-proporciona-un-poderoso-conjunto-de-herramientas-para-un-diseno-resistente-al-clima/,https://es.theglobal.school/el-primer-compendio-de-tecnologias-indigenas-proporciona-un-poderoso-conjunto-de-herramientas-para-un-diseno-resistente-al-clima/,200,es,no,el-primer-compendio-de-tecnologias-indigenas-proporciona-un-poderoso-conjunto-de-herramientas-para-un-diseno-resistente-al-clima,10979,7,
https://es.theglobal.school/el-tema-latin-american-leaders-awards-nominados-2022/,https://es.theglobal.school/el-tema-latin-american-leaders-awards-nominados-2022/,200,es,no,el-tema-latin-american-leaders-awards-nominados-2022,7647,1,
https://es.theglobal.school/el-ultimo-latinoamericano-en-dirigir-la-onu/,https://es.theglobal.school/el-ultimo-latinoamericano-en-dirigir-la-onu/,200,es,no,el-ultimo-latinoamericano-en-dirigir-la-onu,6144,6,
https://es.theglobal.school/entre-techos-suelos-y-laberintos-la-trayectoria-profesional-de-las-mujeres/,https://es.theglobal.school/entre-techos-suelos-y-laberintos-la-trayectoria-profesional-de-las-mujeres/,200,es,no,entre-techos-suelos-y-laberintos-la-trayectoria-profesional-de-las-mujeres,6011,2,
https://es.theglobal.school/es-chatgpt-peligroso/,https://es.theglobal.school/es-chatgpt-peligroso/,200,es,no,es-chatgpt-peligroso,4487,1,
https://es.theglobal.school/esclavitud-del-liderazgo/,https://es.theglobal.school/esclavitud-del-liderazgo/,200,es,no,esclavitud-del-liderazgo,10121,2,
https://es.theglobal.school/estrategias-para-ciudades-seguras-y-sustentables/,https://es.theglobal.school/estrategias-para-ciudades-seguras-y-sustentables/,200,es,no,estrategias-para-ciudades-seguras-y-sustentables,8710,4,
https://es.theglobal.school/estudio-actividad-fisica/,https://es.theglobal.school/estudio-actividad-fisica/,200,es,no,estudio-actividad-fisica,4286,2,
https://es.theglobal.school/european-union-and-latin-american-eu-lac-celac/,https://es.theglobal.school/european-union-and-latin-american-eu-lac-celac/,200,es,no,european-union-and-latin-american-eu-lac-celac,15179,1,
