# ----------------------------------------
# Pages and screens: Page title and screen class
# Account: TheGlobal.School
# Property: TheGlobal.School - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20260512
# End date: 20260809
Page title and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Liderazgo y Gestión Pública,3,3,1,1.3333333333333333,13,0,0
Lo más visto del 2021. - The New Global School,3,3,1,0,11,0,0
Martha Merchán - Nominados 2022 - Latin American Leaders Awards,3,3,1,5.666666666666667,15,0,0
Marzo 2020 - The New Global School,3,3,1,2.3333333333333335,11,0,0
Matriz Innovación Social - The New Global School,3,4,0.75,13.5,23,0,0
Nominations African Leaders Awards - The New Global School,3,3,1,1.3333333333333333,14,0,0
Partnerships - The New Global School,3,3,1,0,11,0,0
Pope endorses Gay Marriage - The New Global School,3,4,0.75,9.75,19,0,0
Reciqlo - Latin American Leaders Awards - Nominados 2022,3,2,1.5,35.5,16,0,0
Regional Partners & Franchises,3,3,1,0,9,0,0
Rusia y América Latina: Tus enemigos no son mis enemigos,3,3,1,4.666666666666667,15,0,0
Social Innovation Matrix - The New Global School,3,3,1,11.666666666666666,11,0,0
Social Responsibility Certification ISO 26000 - Vienna School,3,3,1,0,9,0,0
Soft Skills - The New Global School,3,3,1,0,11,0,0
Tech vs Mindfulness? - The New Global School,3,3,1,0.6666666666666666,13,0,0
The Global School for New Leadership Admin - The New Global School,3,3,1,0,9,0,0
Top 10: systems thinking skills to cultivate in uncertain & tumultuous times - The New Global School,3,4,0.75,3.75,21,0,0
WORLD LOCALIZATION DAY - The New Global School,3,3,1,0.3333333333333333,13,0,0
Who is Arora Akanksha? - The New Global School,3,3,1,43.333333333333336,13,0,0
Why cultural transformation is so important nowadays? - TheGlobal.School,3,3,1,0,10,0,0
Will the Coronavirus help humanity survive the environmental crisis? - The New Global School,3,3,1,0.3333333333333333,12,0,0
¿Cómo podemos ayudar mejor ante un desastre?,3,3,1,0.3333333333333333,14,0,0
"""Music"" - Vienna School of Quality & Innovation",2,1,2,18,7,0,0
2 - 2018 - The New Global School,2,2,1,0.5,10,0,0
4 - 2025 - Vienna School of Quality & Innovation,2,2,1,0,6,0,0
Airbnb partners with Safe Ireland and Women’s Aid to offer free accommodation for domestic violence survivors - The New Global School,2,2,1,0,7,0,0
Alianzas Latam Awards - The New Global School,2,3,0.6666666666666666,46.333333333333336,23,0,0
Ana Baiardi CAF - Cursos de Liderazgo y Estrategia,2,2,1,2,8,0,0
CRM para proyectos sociales y ambientales,2,2,1,0,10,0,0
Ciudadanía - The New Global School,2,2,1,0,6,0,0
Claudia Verenice Acedo Ruiz - The New Global School,2,2,1,27,11,0,0
CleanTech Hub - Latin American Leaders Awards - Nominados 2022,2,2,1,1,11,0,0
Climate Action Leaders,2,2,1,0,6,0,0
Community - The New Global School,2,2,1,0,9,0,0
Crisis in Europe. Europe’s Worst Nightmare,2,2,1,1,8,0,0
Curso de Inglés para Profesionales,2,2,1,1,6,0,0
Cursos Gratis de Liderazo y Estrategia para Emprendedores Sociales,2,2,1,70.5,8,0,0
DACH,2,2,1,0,6,0,0
Desafíos globales en tiempos de esclavitud del liderazgo con pensamiento binario: Posliderazgo - The New Global School,2,2,1,0,6,0,0
Dirección de Cambio Climático Panamá - Nominados 2022 - Latin American Leaders Awards,2,2,1,0,6,0,0
Do Leaders need Digital Minimalism? - The New Global School,2,2,1,0,7,0,0
Doris Mujica -Latin American Social Leaders Awards - The New Global School,2,3,0.6666666666666666,83.66666666666667,15,0,0
EVA ROBLES - The New Global School,2,2,1,190,13,0,0
Entradas - Latin American Leaders Awards - The New Global School,2,2,1,8,11,0,0
Equipo Latam Awards - The New Global School,2,2,1,19,9,0,0
Evaluación Holística del Líderazgo - The New Global School,2,2,1,0,6,0,0
Fundación Nueva Oportunidad - Latin American Leaders Awards - Nominados 2022,2,2,1,0,6,0,0
Geopolitics - The New Global School,2,2,1,0,8,0,0
Green Cloud - The New Global School,2,2,1,54.5,19,0,0
Herramientas Digitales - The New Global School,2,2,1,5.5,13,0,0
How consulting businesses are working online - TheGlobal.School,2,2,1,0.5,12,0,0
How to Live a Sustainable Lifestyle - The New Global School,2,2,1,0,7,0,0
Inteligencia Artificial - The New Global School,2,2,1,1.5,9,0,0
Jesus en los Himalayas - The New Global School,2,2,1,38.5,10,0,0
Journey with the Indigenous of Brazil - The New Global School,2,3,0.6666666666666666,0,9,0,0
La Felicidad es muy cara - Roberto A. Arrucha,2,2,1,0,7,0,0
Lani Mireya Anaya Jiménez - Latin American Social Leaders Awards - The New Global School,2,2,1,0,6,0,0
Las 100 mujeres que cambiaron el mundo - The New Global School,2,2,1,2,9,0,0
MUTESA - The New Global School,2,1,2,40,16,0,0
Mamá Latinas - The New Global School,2,1,2,0,6,0,0
Masterclass Liderazgo Organizacional -,2,2,1,5.5,14,0,0
New Era - The Global School for New Leadership,2,2,1,4.5,8,0,0
OXCEM - Latin American Leaders Awards - Nominados 2022 - The New Global School,2,2,1,1.5,8,0,0
Octubre 2023 - The New Global School,2,2,1,0,9,0,0
"Personas, Planeta, Propósito - The Global School for Social Leaders",2,3,0.6666666666666666,8.333333333333334,16,0,0
Prepara tu Programa - The New Global School,2,2,1,0,4,0,0
Purpose-Driven Consultants & Educators - The New Global School,2,2,1,0,8,0,0
Quality Management Systems Certification ISO 9001 - Vienna School of Quality & Innovation,2,2,1,0,6,0,0
Roberto A. Arrucha - Director y Fundador de The New Global School,2,2,1,101,11,0,0
Roberto A. Arrucha - The New Global School,2,2,1,0,7,0,0
TZUNUN - The New Global School,2,3,0.6666666666666666,4,14,0,0
The Global Covid-19 System Crisis - The New Global School,2,2,1,0,8,0,0
The Human Development Goals - The New Global School,2,2,1,0.5,7,0,0
The Imperative of Ending Wildlife Crime - The New Global School,2,2,1,0,8,0,0
The Social Leader Storytelling - The New Global School,2,2,1,3.5,7,0,0
The battle against inequality starts in Mexico - The New Global School,2,2,1,1.5,10,0,0
Tips for your Online Consulting & Academy - TheGlobal.School,2,2,1,0,7,0,0
Top 20: Technology & Innovation against COVID-19 - The New Global School,2,2,1,0,6,0,0
Trabaja Mamá - Latin American Leaders Awards - Nominados 2022 - The New Global School,2,2,1,0,7,0,0
Uncategorized - The New Global School,2,2,1,5.5,11,0,0
Viajes Educativos a Europa,2,1,2,0,4,0,0
"¿Qué nivel de responsabilidad tiene gobierno, empresa y sociedad en el desarrollo? - The New Global School",2,2,1,0,8,0,0
8 - 2019 - The New Global School,1,1,1,5,5,0,0
Act4SDGs - The New Global School,1,1,1,0,3,0,0
Actuemos - Latin American Leaders Awards - Nominados 2022,1,1,1,0,4,0,0
Advisory - The New Global School,1,1,1,1,5,0,0
Agosto 2019 - The New Global School,1,1,1,0,3,0,0
Agricultura Regenerativa - The New Global School,1,1,1,9,7,0,0
Alianzas - The New Global School,1,1,1,0,3,0,0
Amazon Forest - The New Global School,1,1,1,0,5,0,0
Ana Carolina Benavides Martínez - Latin American Social Leaders Awards - The New Global School,1,1,1,0,3,0,0
Andreas Ellenberger - Consultant & Trainer - Vienna School of Quality & Innovation,1,1,1,0,3,0,0
August 2023 - The New Global School,1,1,1,4,4,0,0
Austria - The New Global School,1,1,1,0,5,0,0
Booking Forms - The New Global School,1,1,1,0,5,0,0
CO2 - The New Global School,1,1,1,10,4,0,0
COP25 - The New Global School,1,1,1,0,3,0,0
COVID19 - The New Global School,1,1,1,0,5,0,0
Cambio Climático - The New Global School,1,1,1,23,5,0,0
Caribe Mexicano - The New Global School,1,1,1,5,5,0,0
Carolina Muñoz - Latin American Social Leaders Awards - The New Global School,1,1,1,26,5,0,0
Comisión de la Verdad Colombia - The New Global School,1,1,1,0,3,0,0
Comparte por una vida Colombia - Latin American Leaders Awards - Nominados 2022,1,1,1,5,5,0,0
Consultants - The New Global School,1,1,1,0,3,0,0
Consulting - The New Global School,1,1,1,0,3,0,0
Cumplimiento de la Ley - The New Global School,1,1,1,0,3,0,0
Curso Gratis de Liderazgo Compasivo,1,1,1,70,7,0,0
Cursos de liderazgo en el sector público,1,1,1,16,4,0,0
Cónsul de Ecuador en Austria - The New Global School,1,1,1,0,3,0,0
Daniel Medvedovsky - Latin American Social Leaders Awards - The New Global School,1,1,1,45,9,0,0
Debes Leer - The New Global School,1,1,1,5,5,0,0
Declaración Global de Emprendimiento - The New Global School,1,1,1,0,3,0,0
Dirección de Movilidad y Transporte de Zapopan - Latin American Leaders Awards - Nominados 2022,1,1,1,14,5,0,0
Doctor Terra - Latin American Leaders Awards - Nominados 2022,1,1,1,24,4,0,0
Dunnia Marín Corrales - Latin American Leaders Awards - Nominados 2022,1,1,1,1,5,0,0
Enero 2020 - The New Global School,1,1,1,0,6,0,0
English - The New Global School,1,1,1,1,5,0,0
Environmental Management Certification ISO 14001 - Vienna School of Quality & Innovation,1,1,1,0,3,0,0
Estilos de vida sustentables en el hogar,1,1,1,7,5,0,0
Febrero 2018 - The New Global School,1,1,1,0,4,0,0
Febrero 2019 - The New Global School,1,1,1,0,3,0,0
Febrero 2020 - The New Global School,1,1,1,0,4,0,0
February 2020 - The New Global School,1,1,1,0,3,0,0
February 2023 - The New Global School,1,1,1,0,4,0,0
Federico de Arteaga - Nominados 2022 - Latin American Leaders Awards - The New Global School,1,1,1,0,4,0,0
Franquicias The Global School - The New Global School,1,1,1,5,5,0,0
Fundación Genval - Latin American Leaders Awards - Nominados 2022,1,1,1,66,7,0,0
Future - The New Global School,1,1,1,1,5,0,0
Global Consultants & Educators - The Global Community,1,1,1,0,3,0,0
Globalna Szkoła Liderów Społecznych Europy - Nowa Globalna Szkoła,1,1,1,2,8,0,0
Hackathon - The New Global School,1,1,1,0,3,0,0
Happy Countries - The New Global School,1,1,1,0,3,0,0
Happynar - Latin American Leaders Awards - Nominados 2022,1,1,1,4,7,0,0
Humanity - The New Global School,1,1,1,0,3,0,0
Integración - The New Global School,1,1,1,5,5,0,0
Investigación: Las mujeres obtienen puntajes más altos que los hombres en la mayoría de las habilidades de liderazgo - The New Global School,1,1,1,1,8,0,0
Jazmin Fallas Kerr - Latin American Social Leaders Awards - The New Global School,1,1,1,34,11,0,0
Julieta Diaz Beltran - Latin American Social Leaders Awards - The New Global School,1,1,1,0,3,0,0
Junio 2020 - The New Global School,1,1,1,0,4,0,0
Justicia Climática - The New Global School,1,1,1,0,3,0,0
Jürgen Nagler - The New Global School,1,1,1,5,5,0,0
Karla Estephany Alvarado Romero - Latin American Social Leaders Awards - The New Global School,1,1,1,209,7,0,0
Keyword Research - The New Global School,1,1,1,1,5,0,0
Latin America - The New Global School,1,1,1,1,5,0,0
Latin American Leaders Awards. Premios 2019 - The New Global School,1,1,1,36,5,0,0
Latin Americans in Europe - The New Global School,1,1,1,0,3,0,0
